datasetKey,Observer,Focus_Vert,Focus_Mam
0284b82d-cdd1-4d67-83bd-c8e42e988adb,Mixed,FALSE,FALSE
02d1e772-54ee-4767-b4b8-c35f0c7270ba,Mixed,FALSE,FALSE
0d9accc4-309d-44ad-901e-f221e1d0ec80,Mixed,FALSE,FALSE
13dba6c4-e112-473d-a827-850256bf53c6,Citizen,FALSE,FALSE
1c736f5f-18d4-40d3-b25a-ec9d3c3500c7,Mixed,FALSE,FALSE
25d4f82b-b2bc-4197-bc11-27c8e9a25439,Mixed,FALSE,FALSE
3965d122-ad7d-463e-90be-7eaa006bea18,Mixed,FALSE,FALSE
3dc2a7f6-8d3a-4228-a69c-ec795028fe2f,Mixed,FALSE,FALSE
50c9509d-22c7-4a22-a47d-8c48425ef4a7,Citizen,FALSE,FALSE
594e1181-c38a-4f44-b78c-ceab50351cca,Mixed,FALSE,FALSE
5a1b62b2-4a1f-4404-b481-87836564d4a5,Mixed,FALSE,FALSE
5e43a220-a91d-485b-b608-58fd22693be7,Citizen,FALSE,FALSE
68ad7ec2-0f89-4d32-9ad2-650c88899eb8,Mixed,FALSE,FALSE
7d17a2b2-8751-41b5-ac9b-48effc1ea236,Mixed,FALSE,FALSE
84f58d09-add5-469b-af6e-f3522a8dac7d,Citizen,FALSE,FALSE
84fc98d0-972c-42c1-817f-038bf5e35c0f,Mixed,FALSE,FALSE
887e6209-ea70-46a7-9652-fc94ca97ae0a,Scientific,FALSE,FALSE
8a863029-f435-446a-821e-275f4f641165,Citizen,FALSE,FALSE
90eae6b8-57d2-4d24-8eb3-1dbde00f1669,Mixed,FALSE,FALSE
a99ca3c9-7448-4bf6-aba5-0ef61b01232c,Mixed,FALSE,FALSE
b7cd5ad0-f65a-4de1-a1bb-318cf5ae12f8,Mixed,FALSE,FALSE
b8866a8d-adc7-4a3a-887b-e59f830bb988,Mixed,FALSE,FALSE
bbee118c-a50e-4f7f-bca1-d5bfefc5360b,Citizen,FALSE,FALSE
c358edb6-9b46-45eb-a173-b854910500a9,Mixed,FALSE,FALSE
c3c56ab1-706c-4e7f-85f8-f6f860e203f2,Mixed,FALSE,FALSE
c665b271-454b-4844-a039-426dac634908,Mixed,FALSE,FALSE
cef450df-7155-4c9d-9eb3-7b9b4d868bfa,Mixed,FALSE,FALSE
e351951e-32da-46d6-b61c-e9816d39e0d4,Mixed,FALSE,FALSE
e707e6da-e143-445d-b41d-529c4a777e8b,Citizen,FALSE,FALSE
efb3f1a0-43d5-4ae6-a58f-4fd61043756a,Mixed,FALSE,FALSE
f14f3ec9-c54a-477d-82c8-f7ba6925534a,Citizen,FALSE,FALSE
f7fd7255-5be6-48cf-b76a-821cb84aa93f,Mixed,FALSE,FALSE
fd7cda6d-0bdb-44ed-9319-010c286d4633,Mixed,FALSE,FALSE
04e0550a-e142-4658-9575-3e46fb6675b7,Scientific,TRUE,TRUE
07609307-26f9-490f-89ea-4e74497e3c0d,Mixed,FALSE,FALSE
5520dc44-3ed6-4825-8a69-9e93c3829371,Scientific,TRUE,FALSE
942c4e36-624d-4054-a6cd-b7db0b24926a,Mixed,FALSE,FALSE
abd3521c-f459-468e-9039-f989786147d4,Scientific,FALSE,FALSE
c0dd4990-1803-4d6b-bc06-2f7eeaba100d,Citizen,TRUE,TRUE
daae5a66-7bb4-4431-ac3c-a1bf70ca3407,Mixed,FALSE,FALSE
db1abc39-7b60-4103-815d-820fa37cb62b,Scientific,TRUE,TRUE
e19276e7-0698-4145-ab85-c32c6c76b098,Scientific,TRUE,TRUE
e6d9a4a4-dbf0-4a3e-87c2-91b6af1f9771,Citizen,FALSE,FALSE
f38773f9-2255-408e-9d17-44fa8ca4b962,Scientific,FALSE,FALSE
08360455-914e-4d02-809a-13e3cd8a8d21,Citizen,TRUE,FALSE
