Dataset,Observer,FocusTaxaTorF,Datasetkey
EOD eBird Observation Dataset,1,T,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
RSPB Big Garden Birdwatch winter sightings in the UK in 2009,1,T,912ac7b3-f473-435b-97d1-20b6ed0a6208
SEWBReC Birds (South East Wales),2,F,3a0e9440-0a97-4a04-8089-7398c77da0be
BRERC species records from all years at full resolution excluding Notable Species within the last 10 years,2,F,7d17a2b2-8751-41b5-ac9b-48effc1ea236
Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups,2,F,a99ca3c9-7448-4bf6-aba5-0ef61b01232c
NBIS Records to December 2016,2,F,02d1e772-54ee-4767-b4b8-c35f0c7270ba
Bird Atlas 2007 - 2011,3,T,115f45ed-4334-4144-b5c5-669027e9b191
Suffolk Biodiversity Information Service (SBIS) Dataset,1,F,e707e6da-e143-445d-b41d-529c4a777e8b
Miscellaneous records held on the Cofnod database,2,F,3dc2a7f6-8d3a-4228-a69c-ec795028fe2f
RECORD Aves Data,2,F,523590f0-f87d-4fed-acd2-6873bdce0a8c
Bird Conservation Targeting Project (BCTP) in the UK,2,T,4ac5f415-6f44-43d0-a19b-2d91e5dcbe2b
iNaturalist Research-grade Observations,1,F,50c9509d-22c7-4a22-a47d-8c48425ef4a7
BRERC Notable Species records within the last 10 years,2,F,f7fd7255-5be6-48cf-b76a-821cb84aa93f
National Mammal Atlas Project,1,T,67e2335c-4303-4ee3-9bfe-ecfe65662629
Leicestershire and Rutland Environmental Records Centre records 2010-2014,2,F,fd7cda6d-0bdb-44ed-9319-010c286d4633
Leicestershire and Rutland Environmental Records Centre records 2000-2009,2,F,3965d122-ad7d-463e-90be-7eaa006bea18
CPERC Combined Dataset,2,F,84fc98d0-972c-42c1-817f-038bf5e35c0f
North East Scotland Birds (1883-2010),2,F,71577ce3-32ea-4cf7-8046-b8ed4e098ffc
Bird Conservation Targeting Project (BCTP) in the UK,2,F,3d6c8883-c29b-48f6-9fbf-9a5ad6ecbee4
Leicestershire and Rutland Environmental Records Centre records 2015-2019,2,F,c665b271-454b-4844-a039-426dac634908
The Scottish Squirrel Database,2,T,2e3454ce-5b2d-4bf4-bc23-ca5769f58137
Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups,2,F,68ad7ec2-0f89-4d32-9ad2-650c88899eb8
Merseyside BioBank (verified),2,F,c3c56ab1-706c-4e7f-85f8-f6f860e203f2
Big Hedgehog Map records,1,T,cbde2a70-7a85-4370-b240-09e0738f76f9
All taxa records for Leicestershire and Rutland,1,F,5e43a220-a91d-485b-b608-58fd22693be7
1921 Onwards Swift Screaming Parties,2,T,100a9054-e46c-4302-b059-3a8836df1cf7
Sheffield Bird Study Group (Yorkshire records),2,T,3bd7b984-6bbd-4194-95aa-114271d9ee68
LERN Records,2,F,b7cd5ad0-f65a-4de1-a1bb-318cf5ae12f8
North East Scotland Breeding Bird Atlas 2002-06,3,T,230071a6-1388-4fb7-a399-695932faec71
