"Publisher" "Observer" "FocusTaxaTorF" "datasetKey"
"National Mammal Atlas Project, online recording" "Scientific" FALSE "67e2335c-4303-4ee3-9bfe-ecfe65662629"
"The Scottish Squirrel Database" "Scientific" TRUE "2e3454ce-5b2d-4bf4-bc23-ca5769f58137"
"Big Hedgehog Map records" "Scientific" TRUE "cbde2a70-7a85-4370-b240-09e0738f76f9"
"NBIS Records to December 2016" "Scientific" FALSE "02d1e772-54ee-4767-b4b8-c35f0c7270ba"
"North East Scotland Terrestrial Mammals 1900-2017 (excluding squirrels, wild cats and marine mammals)" "Scientific" TRUE "7940f474-4cb3-4a49-b4f6-58f8c363dba1"
"SEWBReC Mammals (South East Wales)" "Scientific" FALSE "710ad05a-25cf-4129-80ce-c2702cdfa33f"
"UK Roadkill Records" "Scientific" FALSE "f14f3ec9-c54a-477d-82c8-f7ba6925534a"
"Suffolk Biodiversity Information Service (SBIS) Dataset" "Scientific" FALSE "e707e6da-e143-445d-b41d-529c4a777e8b"
"Mammal Mapper App Sighting Records" "Scientific" FALSE "8898e990-9d39-4871-9e6e-d1031c19e24b"
"National Dormouse Database (NDD)" "Scientific" TRUE "e21033eb-b5b1-4043-a035-abf57e65efe7"
"Miscellaneous records held on the Cofnod database" "Scientific" FALSE "3dc2a7f6-8d3a-4228-a69c-ec795028fe2f"
"Living with Mammals survey" "Scientific" FALSE "08360455-914e-4d02-809a-13e3cd8a8d21"
"Roost Count" "Scientific" TRUE "2790adc5-c709-427c-8d04-804590d98272"
"Hibernation Survey" "Scientific" TRUE "4e19e2b8-9934-4b5a-a51f-62df5a9802e7"
"Mammal Records (West Wales)" "Scientific" FALSE "67c45ca3-0c6c-4da2-a1e8-621ef52bd559"
"Tayside Beaver Survey 2017-18" "Scientific" TRUE "4f03bd51-a00c-4060-9eb6-b8db70c8a07b"
"BRERC species records from all years at full resolution excluding Notable Species within the last 10 years" "Scientific" FALSE "7d17a2b2-8751-41b5-ac9b-48effc1ea236"
"WDC Shorewatch Sightings" "Scientific" TRUE "e8ce41f4-a58a-4ce9-90b7-93694071afcd"
"iNaturalist Research-grade Observations" "Scientific" FALSE "50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"HBRG Vertebrates (not Badger) Dataset" "Scientific" FALSE "13dba6c4-e112-473d-a827-850256bf53c6"
"RECORD Mammal Data" "Scientific" TRUE "2f79cc6e-6b14-4162-a4b5-e7415f0716ea"
"Field Survey" "Scientific" TRUE "2790adc5-c709-427c-8d04-804590d98272"
"Leicestershire and Rutland Environmental Records Centre records 2015-2019" "Scientific" FALSE "c665b271-454b-4844-a039-426dac634908"
"Merseyside BioBank (verified)" "Scientific" FALSE "c3c56ab1-706c-4e7f-85f8-f6f860e203f2"
"Hedgehog records 2005-2006: Hogwatch and Rural Landowner surveys" "Scientific" TRUE "73846baa-cba6-48e0-94e0-9308dae5c6bb"
"SER Species-based Surveys" "Scientific" FALSE "bbee118c-a50e-4f7f-bca1-d5bfefc5360b"
"The BCT/MTUK Bats & Roadside Mammals Survey" "Scientific" TRUE "edf03db8-68cf-48ac-a545-15f89c88e113"
"Waterway Survey" "Scientific" TRUE "7445a910-faa2-4f43-b650-d2f055bfb0d7"
"Other Mammal Data from National Dormouse Monitoring Programme (NDMP)" "Scientific" TRUE "cddb8a18-c755-4ca6-9561-8dcbb8af82d7"
"Shropshire Ecological Data Network database" "Scientific" FALSE "25d4f82b-b2bc-4197-bc11-27c8e9a25439"
"Leicestershire and Rutland Protected and Conservation Priority/BAP Specie" "Scientific" TRUE "8578e332-e4b6-4050-ae19-8ac9d0c49c96"
"National Trust Species Records" "Scientific" FALSE "594e1181-c38a-4f44-b78c-ceab50351cca"
