datasetKey,Publisher,Dataset,Observer,Focus_Vert,Focus_Mam
0284b82d-cdd1-4d67-83bd-c8e42e988adb,Merseyside BioBank (unverified),Merseyside BioBank (unverified),Mixed,FALSE,FALSE
02d1e772-54ee-4767-b4b8-c35f0c7270ba,NBIS Records to December 2016,NBIS Records to December 2016,Mixed,FALSE,FALSE
0d9accc4-309d-44ad-901e-f221e1d0ec80,Isle of Man wildlife records from 01/01/2000 to 13/02/2017,Isle of Man wildlife records from 01/01/2000 to 13/02/2017,Mixed,FALSE,FALSE
13dba6c4-e112-473d-a827-850256bf53c6,HBRG Vertebrates (not Badger) Dataset,HBRG Vertebrates (not Badger) Dataset,Citizen,FALSE,FALSE
1c736f5f-18d4-40d3-b25a-ec9d3c3500c7,Argyll Biological Records Dataset,Argyll Biological Records Dataset,Mixed,FALSE,FALSE
25d4f82b-b2bc-4197-bc11-27c8e9a25439,Shropshire Ecological Data Network database,Shropshire Ecological Data Network database,Mixed,FALSE,FALSE
3965d122-ad7d-463e-90be-7eaa006bea18,Leicestershire and Rutland Environmental Records Centre records 2000-2009,Leicestershire and Rutland Environmental Records Centre records 2000-2009,Mixed,FALSE,FALSE
3dc2a7f6-8d3a-4228-a69c-ec795028fe2f,Miscellaneous records held on the Cofnod database,Miscellaneous records held on the Cofnod database,Mixed,FALSE,FALSE
50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist Research-grade Observations,iNaturalist Research-grade Observations,Citizen,FALSE,FALSE
594e1181-c38a-4f44-b78c-ceab50351cca,National Trust Species Records,National Trust Species Records,Mixed,FALSE,FALSE
5a1b62b2-4a1f-4404-b481-87836564d4a5,Miscellaneous records held by BIS,Miscellaneous records held by BIS,Mixed,FALSE,FALSE
5e43a220-a91d-485b-b608-58fd22693be7,All taxa records for Leicestershire and Rutland,All taxa records for Leicestershire and Rutland,Citizen,FALSE,FALSE
68ad7ec2-0f89-4d32-9ad2-650c88899eb8,Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups,Yorkshire Wildlife Trust - Non-sensitive records from all taxonomic groups,Mixed,FALSE,FALSE
7d17a2b2-8751-41b5-ac9b-48effc1ea236,BRERC species records from all years at full resolution excluding Notable Species within the last 10 years,BRERC species records from all years at full resolution excluding Notable Species within the last 10 years,Mixed,FALSE,FALSE
84f58d09-add5-469b-af6e-f3522a8dac7d,CEDaR Online Recording,CEDaR Online Recording,Citizen,FALSE,FALSE
84fc98d0-972c-42c1-817f-038bf5e35c0f,CPERC Combined Dataset,CPERC Combined Dataset,Mixed,FALSE,FALSE
887e6209-ea70-46a7-9652-fc94ca97ae0a,Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data,Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data,Scientific,FALSE,FALSE
8a863029-f435-446a-821e-275f4f641165,"Observation.org, Nature data from around the World",Observation.org,Citizen,FALSE,FALSE
90eae6b8-57d2-4d24-8eb3-1dbde00f1669,NRW Regional Data: North Wales,NRW Regional Data: North Wales,Mixed,FALSE,FALSE
a99ca3c9-7448-4bf6-aba5-0ef61b01232c,Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups,Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups,Mixed,FALSE,FALSE
b7cd5ad0-f65a-4de1-a1bb-318cf5ae12f8,LERN Records,LERN Records,Mixed,FALSE,FALSE
b8866a8d-adc7-4a3a-887b-e59f830bb988,INNS records held by BIS in Powys and Brecon Beacons National Park,INNS records held by BIS in Powys and Brecon Beacons National Park,Mixed,FALSE,FALSE
bbee118c-a50e-4f7f-bca1-d5bfefc5360b,SER Species-based Surveys,SER Species-based Surveys,Citizen,FALSE,FALSE
c358edb6-9b46-45eb-a173-b854910500a9,Fife Nature Records Centre combined dataset,Fife Nature Records Centre combined dataset,Mixed,FALSE,FALSE
c3c56ab1-706c-4e7f-85f8-f6f860e203f2,Merseyside BioBank (verified),Merseyside BioBank (verified),Mixed,FALSE,FALSE
c665b271-454b-4844-a039-426dac634908,Leicestershire and Rutland Environmental Records Centre records 2015-2019,Leicestershire and Rutland Environmental Records Centre records 2015-2019,Mixed,FALSE,FALSE
cef450df-7155-4c9d-9eb3-7b9b4d868bfa,Sheffield and Rotherham Wildlife Trust - Records,Sheffield and Rotherham Wildlife Trust - Records,Mixed,FALSE,FALSE
e351951e-32da-46d6-b61c-e9816d39e0d4,North Merseyside Local Species Data (DEFRA Grant 23169),North Merseyside Local Species Data (DEFRA Grant 23169),Mixed,FALSE,FALSE
e707e6da-e143-445d-b41d-529c4a777e8b,Suffolk Biodiversity Information Service (SBIS) Dataset,Suffolk Biodiversity Information Service (SBIS) Dataset,Citizen,FALSE,FALSE
efb3f1a0-43d5-4ae6-a58f-4fd61043756a,National Trust for Scotland Species Records,National Trust for Scotland Species Records,Mixed,FALSE,FALSE
f14f3ec9-c54a-477d-82c8-f7ba6925534a,UK Roadkill Records,UK Roadkill Records,Citizen,FALSE,FALSE
f7fd7255-5be6-48cf-b76a-821cb84aa93f,BRERC Notable Species records within the last 10 years,BRERC Notable Species records within the last 10 years,Mixed,FALSE,FALSE
fd7cda6d-0bdb-44ed-9319-010c286d4633,Leicestershire and Rutland Environmental Records Centre records 2010-2014,Leicestershire and Rutland Environmental Records Centre records 2010-2014,Mixed,FALSE,FALSE
04e0550a-e142-4658-9575-3e46fb6675b7,Survey of distribution of beavers in Tayside in 2012,NA,Scientific,TRUE,TRUE
07609307-26f9-490f-89ea-4e74497e3c0d,Brecknock Wildlife Trust (Now WTSWW Brecknockhire) records held by BIS,NA,Mixed,FALSE,FALSE
